trial_id,timestamp,model,status,in_tokens,out_tokens,sec,error
S1_V3_causal_claude-sonnet_rep1,2026-02-27T09:21:16.037043,claude-sonnet,success,836,1308,31.77,
S1_V3_causal_claude-sonnet_rep2,2026-02-27T09:21:46.359116,claude-sonnet,success,836,1259,29.82,
S1_V3_causal_claude-sonnet_rep3,2026-02-27T09:22:15.363194,claude-sonnet,success,836,1229,28.5,
S1_V3_causal_claude-sonnet_rep4,2026-02-27T09:22:44.015941,claude-sonnet,success,836,1186,28.15,
S1_V3_causal_gpt-4o_rep0,2026-02-27T09:23:01.466506,gpt-4o,success,731,833,16.93,
S1_V3_causal_gpt-4o_rep1,2026-02-27T09:23:15.814075,gpt-4o,success,731,887,13.85,
S1_V3_causal_gpt-4o_rep2,2026-02-27T09:23:32.570226,gpt-4o,success,731,911,16.26,
S1_V3_causal_gpt-4o_rep3,2026-02-27T09:23:50.686241,gpt-4o,success,731,899,17.62,
S1_V3_causal_gpt-4o_rep4,2026-02-27T09:24:09.223774,gpt-4o,success,731,978,18.04,
S1_V3_practical_claude-sonnet_rep0,2026-02-27T09:24:38.994114,claude-sonnet,success,828,1208,29.25,
S1_V3_practical_claude-sonnet_rep1,2026-02-27T09:25:09.697014,claude-sonnet,success,828,1206,30.2,
S1_V3_practical_claude-sonnet_rep2,2026-02-27T09:25:46.311987,claude-sonnet,success,828,1510,36.11,
S1_V3_practical_claude-sonnet_rep3,2026-02-27T09:26:18.501574,claude-sonnet,success,828,1282,31.69,
S1_V3_practical_claude-sonnet_rep4,2026-02-27T09:26:50.027000,claude-sonnet,success,828,1243,31.03,
S1_V3_practical_gpt-4o_rep0,2026-02-27T09:27:09.198981,gpt-4o,success,727,935,18.65,
S1_V3_practical_gpt-4o_rep1,2026-02-27T09:27:24.020891,gpt-4o,success,727,692,14.32,
S1_V3_practical_gpt-4o_rep2,2026-02-27T09:27:47.205971,gpt-4o,success,727,764,22.68,
S1_V3_practical_gpt-4o_rep3,2026-02-27T09:28:05.712910,gpt-4o,success,727,763,18.01,
S1_V3_practical_gpt-4o_rep4,2026-02-27T09:28:20.586000,gpt-4o,success,727,657,14.37,
S1_V3_historical_claude-sonnet_rep0,2026-02-27T09:28:56.847351,claude-sonnet,success,827,1434,35.74,
S1_V3_historical_claude-sonnet_rep1,2026-02-27T09:29:26.417077,claude-sonnet,success,827,1176,29.07,
S1_V3_historical_claude-sonnet_rep2,2026-02-27T09:30:05.067828,claude-sonnet,success,827,1531,38.15,
S1_V3_historical_claude-sonnet_rep3,2026-02-27T09:30:42.994850,claude-sonnet,success,827,1439,37.43,
S1_V3_historical_claude-sonnet_rep4,2026-02-27T09:31:20.199403,claude-sonnet,success,827,1469,36.7,
S1_V3_historical_gpt-4o_rep0,2026-02-27T09:31:37.701257,gpt-4o,success,728,956,16.98,
S1_V3_historical_gpt-4o_rep1,2026-02-27T09:31:57.967197,gpt-4o,success,728,810,19.77,
S1_V3_historical_gpt-4o_rep2,2026-02-27T09:32:14.213274,gpt-4o,success,728,834,15.75,
S1_V3_historical_gpt-4o_rep3,2026-02-27T09:32:32.014159,gpt-4o,success,728,750,17.3,
S1_V3_historical_gpt-4o_rep4,2026-02-27T09:32:44.530411,gpt-4o,success,728,732,12.02,
S1_V3_formal_claude-sonnet_rep0,2026-02-27T09:33:16.029038,claude-sonnet,success,828,1425,30.97,
S1_V3_formal_claude-sonnet_rep1,2026-02-27T09:33:49.944044,claude-sonnet,success,828,1538,33.41,
S1_V3_formal_claude-sonnet_rep2,2026-02-27T09:34:24.034702,claude-sonnet,success,828,1547,33.59,
S1_V3_formal_claude-sonnet_rep3,2026-02-27T09:34:54.747565,claude-sonnet,success,828,1356,30.21,
S1_V3_formal_claude-sonnet_rep4,2026-02-27T09:35:24.037001,claude-sonnet,success,828,1311,28.79,
S1_V3_formal_gpt-4o_rep0,2026-02-27T09:35:42.774130,gpt-4o,success,729,875,18.2,
S1_V3_formal_gpt-4o_rep1,2026-02-27T09:36:00.156398,gpt-4o,success,729,783,16.88,
S1_V3_formal_gpt-4o_rep2,2026-02-27T09:36:07.975197,gpt-4o,success,729,755,7.32,
S1_V3_formal_gpt-4o_rep3,2026-02-27T09:36:19.414992,gpt-4o,success,729,730,10.94,
S1_V3_formal_gpt-4o_rep4,2026-02-27T09:36:29.108763,gpt-4o,success,729,773,9.19,
S2_V0_none_claude-sonnet_rep0,2026-02-27T09:36:35.780053,claude-sonnet,success,730,646,6.15,
S2_V0_none_claude-sonnet_rep1,2026-02-27T09:36:42.809120,claude-sonnet,success,730,646,6.53,
S2_V0_none_claude-sonnet_rep2,2026-02-27T09:36:49.504831,claude-sonnet,success,730,646,6.2,
S2_V0_none_claude-sonnet_rep3,2026-02-27T09:36:55.447497,claude-sonnet,success,730,646,5.44,
S2_V0_none_claude-sonnet_rep4,2026-02-27T09:37:02.455539,claude-sonnet,success,730,646,6.51,
S2_V0_none_gpt-4o_rep0,2026-02-27T09:37:06.633382,gpt-4o,success,651,563,3.66,
S2_V0_none_gpt-4o_rep1,2026-02-27T09:37:20.811198,gpt-4o,success,651,563,13.68,
S2_V0_none_gpt-4o_rep2,2026-02-27T09:37:27.070981,gpt-4o,success,651,563,5.76,
S2_V0_none_gpt-4o_rep3,2026-02-27T09:37:30.689066,gpt-4o,success,651,563,3.12,
S2_V0_none_gpt-4o_rep4,2026-02-27T09:37:34.585526,gpt-4o,success,651,563,3.4,
S2_V1_none_claude-sonnet_rep0,2026-02-27T09:37:48.166900,claude-sonnet,success,724,546,13.06,
S2_V1_none_claude-sonnet_rep1,2026-02-27T09:38:04.946773,claude-sonnet,success,724,663,16.28,
S2_V1_none_claude-sonnet_rep2,2026-02-27T09:38:19.242715,claude-sonnet,success,724,596,13.8,
S2_V1_none_claude-sonnet_rep3,2026-02-27T09:38:33.313692,claude-sonnet,success,724,571,13.57,
S2_V1_none_claude-sonnet_rep4,2026-02-27T09:38:49.019811,claude-sonnet,success,724,608,15.21,
S2_V1_none_gpt-4o_rep0,2026-02-27T09:38:55.668532,gpt-4o,success,641,395,6.12,
S2_V1_none_gpt-4o_rep1,2026-02-27T09:39:03.561533,gpt-4o,success,641,385,7.39,
S2_V1_none_gpt-4o_rep2,2026-02-27T09:39:11.409521,gpt-4o,success,641,353,7.35,
S2_V1_none_gpt-4o_rep3,2026-02-27T09:39:19.404175,gpt-4o,success,641,404,7.49,
S2_V1_none_gpt-4o_rep4,2026-02-27T09:39:27.121919,gpt-4o,success,641,397,7.22,
S2_V2_causal_claude-sonnet_rep0,2026-02-27T09:39:52.151184,claude-sonnet,success,730,1105,24.5,
S2_V2_causal_claude-sonnet_rep1,2026-02-27T09:40:16.727103,claude-sonnet,success,730,1174,24.08,
S2_V2_causal_claude-sonnet_rep2,2026-02-27T09:40:35.239241,claude-sonnet,success,730,864,18.01,
S2_V2_causal_claude-sonnet_rep3,2026-02-27T09:40:55.894859,claude-sonnet,success,730,881,20.16,
S2_V2_causal_claude-sonnet_rep4,2026-02-27T09:41:18.496909,claude-sonnet,success,730,1074,22.1,
S2_V2_causal_gpt-4o_rep0,2026-02-27T09:41:28.507690,gpt-4o,success,648,712,9.49,
S2_V2_causal_gpt-4o_rep1,2026-02-27T09:41:44.012956,gpt-4o,success,648,950,15.0,
S2_V2_causal_gpt-4o_rep2,2026-02-27T09:41:54.259390,gpt-4o,success,648,730,9.75,
S2_V2_causal_gpt-4o_rep3,2026-02-27T09:42:02.427179,gpt-4o,success,648,510,7.67,
S2_V2_causal_gpt-4o_rep4,2026-02-27T09:42:14.766119,gpt-4o,success,648,743,11.84,
S2_V2_practical_claude-sonnet_rep0,2026-02-27T09:42:40.375701,claude-sonnet,success,720,1261,25.07,
S2_V2_practical_claude-sonnet_rep1,2026-02-27T09:43:07.292377,claude-sonnet,success,720,1368,26.42,
S2_V2_practical_claude-sonnet_rep2,2026-02-27T09:43:28.420237,claude-sonnet,success,720,1096,20.63,
S2_V2_practical_claude-sonnet_rep3,2026-02-27T09:43:55.911592,claude-sonnet,success,720,1261,26.99,
S2_V2_practical_claude-sonnet_rep4,2026-02-27T09:44:18.453623,claude-sonnet,success,720,1084,22.04,
S2_V2_practical_gpt-4o_rep0,2026-02-27T09:44:30.843926,gpt-4o,success,641,605,11.86,
S2_V2_practical_gpt-4o_rep1,2026-02-27T09:44:42.041061,gpt-4o,success,641,598,10.7,
S2_V2_practical_gpt-4o_rep2,2026-02-27T09:44:55.462602,gpt-4o,success,641,606,12.92,
S2_V2_practical_gpt-4o_rep3,2026-02-27T09:45:04.829830,gpt-4o,success,641,524,8.87,
S2_V2_practical_gpt-4o_rep4,2026-02-27T09:45:13.101397,gpt-4o,success,641,560,7.77,
S2_V2_historical_claude-sonnet_rep0,2026-02-27T09:45:34.167855,claude-sonnet,success,721,938,20.53,
S2_V2_historical_claude-sonnet_rep1,2026-02-27T09:45:55.563027,claude-sonnet,success,721,892,20.89,
S2_V2_historical_claude-sonnet_rep2,2026-02-27T09:46:16.774140,claude-sonnet,success,721,922,20.71,
S2_V2_historical_claude-sonnet_rep3,2026-02-27T09:46:40.330098,claude-sonnet,success,721,861,23.06,
S2_V2_historical_claude-sonnet_rep4,2026-02-27T09:47:07.500080,claude-sonnet,success,721,1181,26.67,
S2_V2_historical_gpt-4o_rep0,2026-02-27T09:47:16.133427,gpt-4o,success,640,776,8.1,
S2_V2_historical_gpt-4o_rep1,2026-02-27T09:47:28.568341,gpt-4o,success,640,646,11.93,
S2_V2_historical_gpt-4o_rep2,2026-02-27T09:47:38.924217,gpt-4o,success,640,635,9.86,
S2_V2_historical_gpt-4o_rep3,2026-02-27T09:47:48.358392,gpt-4o,success,640,733,8.93,
S2_V2_historical_gpt-4o_rep4,2026-02-27T09:47:59.929309,gpt-4o,success,640,716,11.07,
S2_V2_formal_claude-sonnet_rep0,2026-02-27T09:48:25.847896,claude-sonnet,success,727,1096,25.39,
S2_V2_formal_claude-sonnet_rep1,2026-02-27T09:48:50.213698,claude-sonnet,success,727,1049,23.87,
S2_V2_formal_claude-sonnet_rep2,2026-02-27T09:49:18.348275,claude-sonnet,success,727,1346,27.63,
S2_V2_formal_claude-sonnet_rep3,2026-02-27T09:49:45.388049,claude-sonnet,success,727,1284,26.54,
S2_V2_formal_claude-sonnet_rep4,2026-02-27T09:50:08.415291,claude-sonnet,success,727,980,22.53,
S2_V2_formal_gpt-4o_rep0,2026-02-27T09:50:20.533237,gpt-4o,success,648,848,11.58,
S2_V2_formal_gpt-4o_rep1,2026-02-27T09:50:32.722526,gpt-4o,success,648,802,11.69,
S2_V2_formal_gpt-4o_rep2,2026-02-27T09:50:45.729106,gpt-4o,success,648,816,12.51,
S2_V2_formal_gpt-4o_rep3,2026-02-27T09:50:59.393442,gpt-4o,success,648,881,13.16,
S2_V2_formal_gpt-4o_rep4,2026-02-27T09:51:10.359818,gpt-4o,success,648,801,10.47,
S2_V3_causal_claude-sonnet_rep0,2026-02-27T09:51:43.389275,claude-sonnet,success,759,1323,32.5,
S2_V3_causal_claude-sonnet_rep1,2026-02-27T09:52:17.686759,claude-sonnet,success,759,1278,33.8,
S2_V3_causal_claude-sonnet_rep2,2026-02-27T09:52:53.994576,claude-sonnet,success,759,1471,35.81,
S2_V3_causal_claude-sonnet_rep3,2026-02-27T09:53:27.670182,claude-sonnet,success,759,1388,33.18,
S2_V3_causal_claude-sonnet_rep4,2026-02-27T09:54:00.465420,claude-sonnet,success,759,1291,32.29,
S2_V3_causal_gpt-4o_rep0,2026-02-27T09:54:19.762195,gpt-4o,success,667,893,18.76,
S2_V3_causal_gpt-4o_rep1,2026-02-27T09:54:37.105524,gpt-4o,success,667,907,16.84,
S2_V3_causal_gpt-4o_rep2,2026-02-27T09:54:52.008125,gpt-4o,success,667,944,14.4,
S2_V3_causal_gpt-4o_rep3,2026-02-27T09:55:03.236988,gpt-4o,success,667,896,10.73,
S2_V3_causal_gpt-4o_rep4,2026-02-27T09:55:20.708080,gpt-4o,success,667,834,16.97,
S2_V3_practical_claude-sonnet_rep0,2026-02-27T09:55:52.366591,claude-sonnet,success,751,1291,31.13,
S2_V3_practical_claude-sonnet_rep1,2026-02-27T09:56:21.863167,claude-sonnet,success,751,1206,29.0,
S2_V3_practical_claude-sonnet_rep2,2026-02-27T09:56:57.477843,claude-sonnet,success,751,1396,35.11,
S2_V3_practical_claude-sonnet_rep3,2026-02-27T09:57:30.374607,claude-sonnet,success,751,1270,32.4,
S2_V3_practical_claude-sonnet_rep4,2026-02-27T09:58:02.661035,claude-sonnet,success,751,1257,31.79,
S2_V3_practical_gpt-4o_rep0,2026-02-27T09:58:14.416075,gpt-4o,success,663,706,11.22,
S2_V3_practical_gpt-4o_rep1,2026-02-27T09:58:27.037972,gpt-4o,success,663,664,12.12,
S2_V3_practical_gpt-4o_rep2,2026-02-27T09:58:40.062608,gpt-4o,success,663,664,12.52,
S2_V3_practical_gpt-4o_rep3,2026-02-27T09:58:57.683787,gpt-4o,success,663,883,17.12,
S2_V3_practical_gpt-4o_rep4,2026-02-27T09:59:10.342788,gpt-4o,success,663,733,12.16,
S2_V3_historical_claude-sonnet_rep0,2026-02-27T09:59:49.973512,claude-sonnet,success,750,1473,39.1,
S2_V3_historical_claude-sonnet_rep1,2026-02-27T10:00:26.927409,claude-sonnet,success,750,1403,36.45,
S2_V3_historical_claude-sonnet_rep2,2026-02-27T10:01:05.006265,claude-sonnet,success,750,1468,37.58,
S2_V3_historical_claude-sonnet_rep3,2026-02-27T10:01:41.046164,claude-sonnet,success,750,1269,35.54,
S2_V3_historical_claude-sonnet_rep4,2026-02-27T10:02:12.664918,claude-sonnet,success,750,1194,31.12,
S2_V3_historical_gpt-4o_rep0,2026-02-27T10:02:25.632113,gpt-4o,success,664,705,12.44,
S2_V3_historical_gpt-4o_rep1,2026-02-27T10:02:41.893786,gpt-4o,success,664,860,15.76,
S2_V3_historical_gpt-4o_rep2,2026-02-27T10:02:53.385996,gpt-4o,success,664,645,10.99,
S2_V3_historical_gpt-4o_rep3,2026-02-27T10:03:05.204391,gpt-4o,success,664,776,11.32,
S2_V3_historical_gpt-4o_rep4,2026-02-27T10:03:23.633274,gpt-4o,success,664,921,17.93,
S2_V3_formal_claude-sonnet_rep0,2026-02-27T10:03:55.282800,claude-sonnet,success,751,1234,31.11,
S2_V3_formal_claude-sonnet_rep1,2026-02-27T10:04:26.335560,claude-sonnet,success,751,1263,30.55,
S2_V3_formal_claude-sonnet_rep2,2026-02-27T10:04:56.374567,claude-sonnet,success,751,1208,29.54,
S2_V3_formal_claude-sonnet_rep3,2026-02-27T10:05:31.562476,claude-sonnet,success,751,1467,34.69,
S2_V3_formal_claude-sonnet_rep4,2026-02-27T10:06:01.334807,claude-sonnet,success,751,1304,29.27,
S2_V3_formal_gpt-4o_rep0,2026-02-27T10:06:19.007448,gpt-4o,success,665,711,17.14,
S2_V3_formal_gpt-4o_rep1,2026-02-27T10:06:33.972841,gpt-4o,success,665,772,14.47,
S2_V3_formal_gpt-4o_rep2,2026-02-27T10:06:46.288814,gpt-4o,success,665,754,11.82,
S2_V3_formal_gpt-4o_rep3,2026-02-27T10:07:00.159192,gpt-4o,success,665,666,13.37,
S2_V3_formal_gpt-4o_rep4,2026-02-27T10:07:18.550734,gpt-4o,success,665,795,17.89,
S3_V0_none_claude-sonnet_rep0,2026-02-27T10:07:24.404549,claude-sonnet,success,646,557,5.32,
S3_V0_none_claude-sonnet_rep1,2026-02-27T10:07:30.193330,claude-sonnet,success,646,557,5.29,
S3_V0_none_claude-sonnet_rep2,2026-02-27T10:07:35.987849,claude-sonnet,success,646,557,5.29,
S3_V0_none_claude-sonnet_rep3,2026-02-27T10:07:41.826548,claude-sonnet,success,646,557,5.34,
S3_V0_none_claude-sonnet_rep4,2026-02-27T10:07:47.535910,claude-sonnet,success,646,557,5.21,
S3_V0_none_gpt-4o_rep0,2026-02-27T10:07:51.514147,gpt-4o,success,596,503,3.45,
S3_V0_none_gpt-4o_rep1,2026-02-27T10:07:55.477450,gpt-4o,success,596,503,3.46,
S3_V0_none_gpt-4o_rep2,2026-02-27T10:07:58.846999,gpt-4o,success,596,503,2.87,
S3_V0_none_gpt-4o_rep3,2026-02-27T10:08:04.420477,gpt-4o,success,596,503,5.07,
S3_V0_none_gpt-4o_rep4,2026-02-27T10:08:08.531443,gpt-4o,success,596,503,3.61,
S3_V1_none_claude-sonnet_rep0,2026-02-27T10:08:25.616464,claude-sonnet,success,640,625,16.55,
S3_V1_none_claude-sonnet_rep1,2026-02-27T10:08:41.960751,claude-sonnet,success,640,598,15.84,
S3_V1_none_claude-sonnet_rep2,2026-02-27T10:08:59.142790,claude-sonnet,success,640,642,16.68,
S3_V1_none_claude-sonnet_rep3,2026-02-27T10:09:14.460253,claude-sonnet,success,640,502,14.82,
S3_V1_none_claude-sonnet_rep4,2026-02-27T10:09:31.303127,claude-sonnet,success,640,582,16.34,
S3_V1_none_gpt-4o_rep0,2026-02-27T10:09:38.126216,gpt-4o,success,586,356,6.29,
S3_V1_none_gpt-4o_rep1,2026-02-27T10:09:47.986833,gpt-4o,success,586,322,9.36,
S3_V1_none_gpt-4o_rep2,2026-02-27T10:09:56.613543,gpt-4o,success,586,355,8.13,
S3_V1_none_gpt-4o_rep3,2026-02-27T10:10:08.129195,gpt-4o,success,586,390,11.02,
S3_V1_none_gpt-4o_rep4,2026-02-27T10:10:20.652886,gpt-4o,success,586,372,12.02,
S3_V2_causal_claude-sonnet_rep0,2026-02-27T10:10:42.330700,claude-sonnet,success,646,1015,21.14,
S3_V2_causal_claude-sonnet_rep1,2026-02-27T10:11:07.089734,claude-sonnet,success,646,1089,24.26,
S3_V2_causal_claude-sonnet_rep2,2026-02-27T10:11:33.887422,claude-sonnet,success,646,1331,26.3,
S3_V2_causal_claude-sonnet_rep3,2026-02-27T10:11:59.256794,claude-sonnet,success,646,1129,24.87,
S3_V2_causal_claude-sonnet_rep4,2026-02-27T10:12:19.621988,claude-sonnet,success,646,1084,19.86,
S3_V2_causal_gpt-4o_rep0,2026-02-27T10:12:34.563094,gpt-4o,success,593,891,14.41,
S3_V2_causal_gpt-4o_rep1,2026-02-27T10:12:49.946717,gpt-4o,success,593,927,14.88,
S3_V2_causal_gpt-4o_rep2,2026-02-27T10:13:00.137156,gpt-4o,success,593,651,9.69,
S3_V2_causal_gpt-4o_rep3,2026-02-27T10:13:11.840557,gpt-4o,success,593,733,11.2,
S3_V2_causal_gpt-4o_rep4,2026-02-27T10:13:25.838805,gpt-4o,success,593,873,13.5,
S3_V2_practical_claude-sonnet_rep0,2026-02-27T10:13:46.179354,claude-sonnet,success,636,1049,19.8,
S3_V2_practical_claude-sonnet_rep1,2026-02-27T10:14:05.776485,claude-sonnet,success,636,877,19.1,
S3_V2_practical_claude-sonnet_rep2,2026-02-27T10:14:28.132800,claude-sonnet,success,636,1059,21.86,
S3_V2_practical_claude-sonnet_rep3,2026-02-27T10:14:52.202088,claude-sonnet,success,636,1088,23.57,
S3_V2_practical_claude-sonnet_rep4,2026-02-27T10:15:11.733638,claude-sonnet,success,636,973,19.03,
S3_V2_practical_gpt-4o_rep0,2026-02-27T10:15:28.073144,gpt-4o,success,586,575,15.8,
S3_V2_practical_gpt-4o_rep1,2026-02-27T10:15:41.260513,gpt-4o,success,586,653,12.69,
S3_V2_practical_gpt-4o_rep2,2026-02-27T10:15:50.210949,gpt-4o,success,586,569,8.45,
S3_V2_practical_gpt-4o_rep3,2026-02-27T10:16:03.303254,gpt-4o,success,586,890,12.59,
S3_V2_practical_gpt-4o_rep4,2026-02-27T10:16:18.462564,gpt-4o,success,586,906,14.66,
S3_V2_historical_claude-sonnet_rep0,2026-02-27T10:16:35.777537,claude-sonnet,success,637,727,16.78,
S3_V2_historical_claude-sonnet_rep1,2026-02-27T10:16:58.927530,claude-sonnet,success,637,941,22.65,
S3_V2_historical_claude-sonnet_rep2,2026-02-27T10:17:23.606552,claude-sonnet,success,637,1016,24.18,
S3_V2_historical_claude-sonnet_rep3,2026-02-27T10:17:57.304205,claude-sonnet,success,637,1579,33.2,
S3_V2_historical_claude-sonnet_rep4,2026-02-27T10:18:16.137891,claude-sonnet,success,637,836,18.33,
S3_V2_historical_gpt-4o_rep0,2026-02-27T10:18:35.697133,gpt-4o,success,585,661,19.03,
S3_V2_historical_gpt-4o_rep1,2026-02-27T10:18:46.822205,gpt-4o,success,585,574,10.62,
S3_V2_historical_gpt-4o_rep2,2026-02-27T10:19:02.713882,gpt-4o,success,585,831,15.39,
S3_V2_historical_gpt-4o_rep3,2026-02-27T10:19:14.247794,gpt-4o,success,585,610,11.03,
S3_V2_historical_gpt-4o_rep4,2026-02-27T10:19:26.048283,gpt-4o,success,585,605,11.3,
S3_V2_formal_claude-sonnet_rep0,2026-02-27T10:19:52.213528,claude-sonnet,success,643,1263,25.62,
S3_V2_formal_claude-sonnet_rep1,2026-02-27T10:20:19.685734,claude-sonnet,success,643,1349,26.97,
